,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
84,84,2.8,144.103443,143.91119,58.38591,110.223488,146.672387,125.686468,34.480413,-26.574846,-1.164215,42.369842,-199.366311,-136.369806,0.395727,0.073485,0.395727,0.073485,0.123693,0.094868,13.997099,14.608265,15.177716,21.522667,36.157569,21.541164,0.192253,51.837578,20.985919,48.0
87,87,2.9,149.243406,142.467363,57.165327,111.690457,151.010131,128.490086,59.164245,50.7616,-11.750762,-51.849471,26.119975,-29.517486,0.108167,0.18,0.108167,0.18,0.0,0.03,18.759119,14.608265,13.73087,17.961427,34.464336,21.541164,6.776043,54.52513,22.520045,68.5
90,90,3.0,149.214032,149.825809,55.853275,105.700015,147.45313,135.401876,20.64559,44.43338,-18.155513,18.70597,-59.208975,41.351232,0.123693,0.03,0.123693,0.03,0.03,0.03,18.871531,14.608265,13.402499,13.918051,34.464336,20.003668,0.611777,49.84674,12.051253,115.2
93,93,3.1,152.406914,148.520843,54.902737,110.049239,144.865185,139.090207,13.816162,-99.840831,-6.077777,27.67814,-320.75082,122.604932,0.351141,0.271662,0.351141,0.271662,0.042426,0.03,17.143198,14.608265,13.191045,13.918051,26.92144,20.673463,3.886071,55.146502,5.774978,119.4
96,96,3.2,155.915701,144.341519,53.624868,120.888386,141.342187,150.382078,26.959113,18.984453,-0.974754,186.111763,-152.168279,328.426567,0.263249,0.81,0.263249,0.81,0.3,0.3,20.651985,14.608265,12.950982,20.379007,26.92144,31.965334,11.574182,67.263519,9.039891,90.8
99,99,3.3,157.625364,144.433682,53.559965,123.491777,147.580437,136.616241,46.027309,-75.188863,-0.887908,-60.042132,158.384788,-276.287862,0.11225,0.241868,0.11225,0.241868,0.0,0.03,22.361648,14.608265,12.599046,24.983801,26.92144,31.965334,13.191682,69.931812,10.964195,78.6
102,102,3.4,155.771306,140.135176,52.554575,122.726681,149.258234,137.792834,-29.394326,-4.640263,-25.280801,-19.928715,-77.268729,153.280248,0.218403,0.067082,0.218403,0.067082,0.0,0.0,20.300203,14.309719,11.246936,24.983801,26.92144,31.965334,15.63613,70.172106,11.465399,76.4
105,105,3.5,158.721723,152.474759,52.551803,127.062072,139.875832,148.46319,-94.10357,525.805986,51.079479,32.006384,57.080957,83.085378,0.666108,0.094868,0.666108,0.094868,0.042426,0.042426,26.909413,20.405906,13.986967,26.552693,27.841285,31.965334,6.246964,74.51027,8.587358,85.9
108,108,3.6,158.922093,145.718145,50.449909,120.868837,136.564584,138.608888,-113.143011,51.86465,41.331163,-6.531744,-16.499348,108.059421,0.853288,0.391152,0.853288,0.391152,0.184932,0.18,24.195666,20.405906,12.496617,26.552693,29.249834,27.733689,13.203947,70.418928,2.044304,72.1
111,111,3.7,159.494739,132.384841,48.681447,121.558251,145.731626,133.142415,-148.398281,23.306913,49.612179,50.648349,-276.107537,-62.041465,0.108167,0.051962,0.108167,0.051962,0.03,0.03,23.485165,20.866815,13.263071,21.985589,29.249834,24.69561,27.109898,72.876803,12.589211,89.1
114,114,3.8,158.089289,121.435558,46.469381,127.269634,129.215891,130.395816,42.656288,-180.028871,-56.772438,233.164971,-116.422599,114.222408,0.816639,1.590283,0.816639,1.590283,0.09,0.094868,20.337906,31.039202,11.916528,22.193151,30.572974,24.69561,36.653732,80.800253,1.179925,124.9
117,117,3.9,160.755372,124.382114,46.43053,125.329508,127.335956,114.170957,-3.712537,28.682928,-23.924507,-36.203682,50.963236,-411.521694,0.340735,0.051962,0.340735,0.051962,0.042426,0.042426,15.915503,31.039202,10.734797,22.193151,30.572974,36.211121,36.373258,78.898978,13.164999,157.7
120,120,4.0,156.03761,129.890995,44.515441,126.798549,123.358012,115.028769,14.506201,218.126125,-38.694193,58.928093,-225.74014,-7.328336,1.087474,0.03,1.087474,0.03,0.094868,0.099499,15.227316,31.039202,11.456523,21.569619,32.198867,36.211121,26.146615,82.283108,8.329243,149.7
123,123,4.1,146.257608,128.25469,44.739717,129.136069,132.753788,111.827585,-82.672362,-21.771762,-36.095648,-71.101687,83.708581,12.014668,0.243721,0.302985,0.243721,0.302985,0.0,0.03,18.18374,31.039202,10.505985,21.456887,31.577199,40.440894,18.002918,84.396352,20.926203,128.1
126,126,4.2,141.791239,127.237887,44.468631,130.66888,139.598027,112.495602,-1.162885,191.908794,-2.542355,-12.919559,2.057991,-127.260781,0.3,0.361248,0.3,0.361248,0.0,0.03,22.650109,31.633832,9.228116,16.493901,31.577199,40.440894,14.553352,86.200249,27.102425,129.1
129,129,4.3,144.100581,115.423107,45.037591,127.029406,146.634758,115.503963,56.709176,22.346273,15.944,-3.532862,67.940696,0.750665,0.485592,0.152971,0.485592,0.152971,0.094868,0.094868,22.994479,38.798778,9.163213,16.493901,31.577199,39.737629,28.677474,81.991815,31.130794,137.1
132,132,4.4,148.498569,128.302381,43.896382,128.762165,132.804033,100.54062,56.091696,152.590598,-43.165674,15.566002,-46.917419,-1.979039,0.276586,0.123693,0.276586,0.123693,0.03,0.03,22.994479,38.798778,8.655421,16.493901,31.577199,49.138193,20.196188,84.865782,32.263413,122.5
135,135,4.5,146.02415,131.637854,44.678646,130.368625,128.923794,100.271177,41.154725,-52.510566,-18.882935,5.330133,18.956154,57.822226,0.218403,0.042426,0.218403,0.042426,0.0,0.0,22.994479,38.798778,9.116611,16.493901,31.577199,50.789695,14.386296,85.689979,28.652616,105.2
138,138,4.6,143.410766,127.804193,46.010604,131.172377,132.502293,107.690114,5.394247,67.794985,20.07491,-14.583835,90.793264,200.308457,0.155885,0.042426,0.155885,0.042426,0.03,0.042426,22.994479,32.042164,7.014717,12.161037,31.577199,41.438023,15.606573,85.161773,24.812179,118.9
141,141,4.7,147.490603,147.102991,42.671147,135.118378,127.743987,113.266537,-41.072564,420.149109,-25.21611,93.411673,-150.485678,156.594687,0.15,0.84,0.15,0.84,0.161555,0.152971,19.432254,33.42701,6.0103,15.62091,23.276746,35.46892,0.387613,92.447231,14.47745,171.6
144,144,4.8,141.713945,128.288069,41.541098,133.771502,137.330871,113.710035,-110.767448,-245.891455,4.725033,-0.90919,25.857176,34.666445,0.067082,0.362491,0.067082,0.362491,0.0,0.0,19.432254,33.42701,5.844416,10.284099,23.276746,32.72232,13.425876,92.230404,23.620836,162.7
147,147,4.9,145.288166,118.812912,41.657667,132.621915,141.709843,116.523427,11.638487,-44.611497,5.479237,8.624874,-0.318395,-27.400809,0.127279,0.09,0.127279,0.09,0.03,0.03,18.481105,33.42701,5.663594,10.284099,23.276746,19.763292,26.475255,90.964248,25.186416,163.3
150,150,5.0,141.959777,127.181021,41.514769,131.593912,134.798574,109.142132,-165.477647,119.090751,40.981534,70.437092,125.572779,53.583566,0.273313,0.09,0.273313,0.09,0.0,0.03,14.590741,33.42701,6.413412,8.853169,23.276746,19.763292,14.778756,90.079143,25.656441,142.8
153,153,5.1,138.630137,133.808992,41.496655,129.579976,131.437369,106.222291,-239.387054,55.853878,21.427148,23.5872,-159.733902,-193.45003,0.527352,0.182483,0.527352,0.182483,0.03,0.0,10.229552,33.42701,5.861887,8.853169,19.389956,19.763292,4.821145,88.08332,25.215077,106.9
156,156,5.2,141.903099,125.008006,39.280053,130.105771,145.214385,117.112562,70.636291,28.661401,1.815736,-7.468137,342.95334,148.025318,0.073485,0.21,0.073485,0.21,0.03,0.03,10.229552,33.42701,6.791076,8.853169,19.389956,19.763292,16.895092,90.825718,28.101824,94.9
159,159,5.3,138.792043,124.664931,38.918025,130.77721,138.42585,111.296758,-150.436121,-58.441608,-14.021117,5.156543,-92.518293,-30.745376,0.094868,0.15,0.094868,0.15,0.06,0.03,10.229552,31.679883,7.092579,8.853169,19.389956,19.763292,14.127112,91.859185,27.129092,110.4
162,162,5.4,149.181285,131.135978,39.147679,127.813004,135.609891,107.196813,-49.127693,-219.224588,-14.348048,-17.237574,-24.825547,-13.493861,0.27,0.243721,0.27,0.243721,0.03,0.0,12.958004,28.290079,7.840923,12.252065,17.969584,19.763292,18.045307,88.665324,28.413077,124.5
165,165,5.5,141.505086,133.831777,38.873778,130.882391,125.908132,104.280507,-77.187139,128.262968,-18.205332,52.012665,-151.279535,-20.432485,0.03,0.24,0.03,0.24,0.042426,0.0,12.958004,28.290079,7.840923,12.252065,19.306254,17.16561,7.673309,92.008613,21.627625,149.2
168,168,5.6,126.154546,133.713454,38.776395,131.549941,125.665728,103.530551,-287.550996,-35.40748,13.749095,-25.878418,46.552373,-13.835753,0.073485,0.9005,0.073485,0.9005,0.18,0.182483,25.433594,28.290079,7.840923,12.252065,21.100403,13.906236,7.558907,92.773547,22.135177,138.0
