Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24
182,137.755562,137.355952,31.081417,133.036138,119.846509,98.342721
183,143.451427,127.56026,32.677531,132.892094,127.44604,100.29775
184,145.095454,130.322519,34.594155,132.044486,136.250122,104.884512
185,143.984484,127.190083,33.858008,131.95379,134.001541,104.948506
186,140.691893,132.110155,33.696516,130.810406,133.215906,104.852613
187,139.59819,134.407835,32.653889,134.087175,129.8935,104.546279
188,138.460823,134.762189,32.099006,134.316494,130.273352,106.521687
189,131.591924,144.845471,31.60005,135.052527,128.148295,97.415948
190,126.126633,137.367935,29.194383,134.545736,117.849931,96.675036
191,127.803372,131.47929,31.210596,133.418291,124.825225,111.857257
192,126.394113,132.906496,29.994679,133.165436,126.541427,111.316074
193,129.057801,133.172385,29.227527,133.742949,129.916863,110.453444
194,129.514584,132.196348,31.697528,133.479728,135.083862,112.883657
195,121.368241,128.506206,30.922218,134.004118,128.771822,119.911973
196,124.141114,118.210086,29.062869,134.771214,124.464739,117.535166
197,129.221824,121.565234,27.904158,136.560041,122.808831,106.128763
198,127.753163,122.428571,27.412641,136.100899,116.233175,113.694753
199,134.995722,123.1725,26.901314,135.186148,113.046044,111.749914
200,126.361267,141.22831,27.562084,136.021806,116.161757,117.068447
201,122.819361,133.709066,26.667319,136.809537,121.747483,111.664735
202,129.724751,125.028796,27.059065,136.244238,123.395153,108.132758
203,121.55838,122.282104,30.103763,132.21241,126.004986,115.891186
204,123.3992,129.316679,28.636936,134.354427,130.269801,113.471987
205,137.241739,128.315952,22.560211,136.257717,113.848353,99.368924
206,129.817859,127.280752,24.190277,135.93252,111.514852,99.483786
207,119.962029,129.520099,26.798113,134.008066,116.67024,110.821703
208,123.238868,131.475601,24.920733,135.950536,111.997691,104.925886
209,122.320887,133.47579,27.539885,134.124223,109.764426,118.886223
210,126.99047,141.661079,25.520497,134.927899,114.879623,103.579972
